Link Text,URL
Computer Science Department,Default.aspx
Home,Default.aspx
About Us,#
Message from HoD,message_from_hod.aspx
The Department,AboutUs.aspx
Programs,Programs.aspx
Research,#
Research Groups,ResearchGroups.aspx
Research Publications,ResearchPublications.aspx
Faculty,Faculty.aspx
Resources,academic_resources.aspx
Newsletters,Newsletters.aspx
CS FYP,https://lahore.comsats.edu.pk/cs/fyp/index.aspx
Downloads,Downloads.aspx
Gallery,Gallery.aspx
Contact Us,Contactus.aspx
Dr. Syed Asad Hussain,http://lahore.comsats.edu.pk/employees/9
Send Message,/Message.aspx?D=9
View Profile,http://lahore.comsats.edu.pk/employees/9
Dr. Farooq Ahmad,http://lahore.comsats.edu.pk/employees/987
Send Message,/Message.aspx?D=987
View Profile,http://lahore.comsats.edu.pk/employees/987
Dr. Zulfiqar Habib,http://lahore.comsats.edu.pk/employees/518
Send Message,/Message.aspx?D=518
View Profile,http://lahore.comsats.edu.pk/employees/518
Dr. Abid Sohail Bhutta,http://lahore.comsats.edu.pk/employees/84
Send Message,/Message.aspx?D=84
View Profile,http://lahore.comsats.edu.pk/employees/84
Dr. Adnan Ahmad,http://lahore.comsats.edu.pk/employees/826
Send Message,/Message.aspx?D=826
View Profile,http://lahore.comsats.edu.pk/employees/826
Dr. Ashfaq Ahmad,http://lahore.comsats.edu.pk/employees/1188
Send Message,/Message.aspx?D=1188
View Profile,http://lahore.comsats.edu.pk/employees/1188
Dr. Farrukh Zeshan,http://lahore.comsats.edu.pk/employees/952
Send Message,/Message.aspx?D=952
View Profile,http://lahore.comsats.edu.pk/employees/952
Dr. Ghulam Rasool,http://lahore.comsats.edu.pk/employees/70
Send Message,/Message.aspx?D=70
View Profile,http://lahore.comsats.edu.pk/employees/70
Dr. Hamid Turab Mirza,http://lahore.comsats.edu.pk/employees/718
Send Message,/Message.aspx?D=718
View Profile,http://lahore.comsats.edu.pk/employees/718
Dr. Muhammad Aksam Iftikhar,http://lahore.comsats.edu.pk/employees/941
Send Message,/Message.aspx?D=941
View Profile,http://lahore.comsats.edu.pk/employees/941
Dr. Muhammad Hasanain Chaudary,http://lahore.comsats.edu.pk/employees/549
Send Message,/Message.aspx?D=549
View Profile,http://lahore.comsats.edu.pk/employees/549
Dr. Shahbaz Akhtar Abid,http://lahore.comsats.edu.pk/employees/392
Send Message,/Message.aspx?D=392
View Profile,http://lahore.comsats.edu.pk/employees/392
Dr. Tahir Maqsood,http://lahore.comsats.edu.pk/employees/1322
Send Message,/Message.aspx?D=1322
View Profile,http://lahore.comsats.edu.pk/employees/1322
Dr. Tariq Umar,http://lahore.comsats.edu.pk/employees/1265
Send Message,/Message.aspx?D=1265
View Profile,http://lahore.comsats.edu.pk/employees/1265
Dr. Atif Saeed,http://lahore.comsats.edu.pk/employees/73
Send Message,/Message.aspx?D=73
View Profile,http://lahore.comsats.edu.pk/employees/73
Dr. Atifa Athar,http://lahore.comsats.edu.pk/employees/1131
Send Message,/Message.aspx?D=1131
View Profile,http://lahore.comsats.edu.pk/employees/1131
Dr. Jawad Shafi,http://lahore.comsats.edu.pk/employees/551
Send Message,/Message.aspx?D=551
View Profile,http://lahore.comsats.edu.pk/employees/551
Dr. Junaid Akram,http://lahore.comsats.edu.pk/employees/1333
Send Message,/Message.aspx?D=1333
View Profile,http://lahore.comsats.edu.pk/employees/1333
Dr. M. Hasan Jamal,http://lahore.comsats.edu.pk/employees/1235
Send Message,/Message.aspx?D=1235
View Profile,http://lahore.comsats.edu.pk/employees/1235
Dr. Muhammad Sharjeel,http://lahore.comsats.edu.pk/employees/537
Send Message,/Message.aspx?D=537
View Profile,http://lahore.comsats.edu.pk/employees/537
Dr. Muhammad Tayyab Chaudhary,http://lahore.comsats.edu.pk/employees/290
Send Message,/Message.aspx?D=290
View Profile,http://lahore.comsats.edu.pk/employees/290
Dr. Wajahat Mahmood Qazi,http://lahore.comsats.edu.pk/employees/985
Send Message,/Message.aspx?D=985
View Profile,http://lahore.comsats.edu.pk/employees/985
Dr. Zeeshan Gillani,http://lahore.comsats.edu.pk/employees/1164
Send Message,/Message.aspx?D=1164
View Profile,http://lahore.comsats.edu.pk/employees/1164
Mr. Abdul Karim Shahid,http://lahore.comsats.edu.pk/employees/13
Send Message,/Message.aspx?D=13
View Profile,http://lahore.comsats.edu.pk/employees/13
Mr. Asif Shahzad,http://lahore.comsats.edu.pk/employees/696
Send Message,/Message.aspx?D=696
View Profile,http://lahore.comsats.edu.pk/employees/696
Ms. Humera Faisal,http://lahore.comsats.edu.pk/employees/272
Send Message,/Message.aspx?D=272
View Profile,http://lahore.comsats.edu.pk/employees/272
Mr. Imran Raza,http://lahore.comsats.edu.pk/employees/72
Send Message,/Message.aspx?D=72
View Profile,http://lahore.comsats.edu.pk/employees/72
Mr. Khaqan Zaheer,http://lahore.comsats.edu.pk/employees/639
Send Message,/Message.aspx?D=639
View Profile,http://lahore.comsats.edu.pk/employees/639
Mr. Muhammad Shahid Bhatti,http://lahore.comsats.edu.pk/employees/277
Send Message,/Message.aspx?D=277
View Profile,http://lahore.comsats.edu.pk/employees/277
Mr. Nadeem Ghafoor Chaudhry,http://lahore.comsats.edu.pk/employees/18
Send Message,/Message.aspx?D=18
View Profile,http://lahore.comsats.edu.pk/employees/18
Mr. Rizwan Qureshi,http://lahore.comsats.edu.pk/employees/16
Send Message,/Message.aspx?D=16
View Profile,http://lahore.comsats.edu.pk/employees/16
Ms. Sana Rizwan,http://lahore.comsats.edu.pk/employees/81
Send Message,/Message.aspx?D=81
View Profile,http://lahore.comsats.edu.pk/employees/81
Ms. Sobia Usman,http://lahore.comsats.edu.pk/employees/78
Send Message,/Message.aspx?D=78
